year,sex,age,suicides_no
1995,male,75+ years,13256
1996,female,15-24 years,6484
1996,female,25-34 years,7608
1996,female,35-54 years,17551
1996,female,5-14 years,577
1996,female,55-74 years,15674
1996,female,75+ years,7620
1996,male,15-24 years,24636
1996,male,25-34 years,35708
1996,male,35-54 years,74903
1996,male,5-14 years,1379
1996,male,55-74 years,44981
1996,male,75+ years,13232
1997,female,15-24 years,6606
1997,female,25-34 years,7628
1997,female,35-54 years,17450
1997,female,5-14 years,617
1997,female,55-74 years,15111
1997,female,75+ years,7642
1997,male,15-24 years,24322
1997,male,25-34 years,34285
1997,male,35-54 years,71669
1997,male,5-14 years,1344
1997,male,55-74 years,44215
1997,male,75+ years,13433
1998,female,15-24 years,6934
1998,female,25-34 years,7601
1998,female,35-54 years,17694
1998,female,5-14 years,703
1998,female,55-74 years,15620
1998,female,75+ years,8057
1998,male,15-24 years,24723
1998,male,25-34 years,34852
1998,male,35-54 years,75058
1998,male,5-14 years,1462
1998,male,55-74 years,46661
1998,male,75+ years,13914
1999,female,15-24 years,6773
1999,female,25-34 years,7610
1999,female,35-54 years,18416
1999,female,5-14 years,629
1999,female,55-74 years,15732
1999,female,75+ years,8037
1999,male,15-24 years,25607
1999,male,25-34 years,35160
1999,male,35-54 years,79065
1999,male,5-14 years,1491
1999,male,55-74 years,47630
1999,male,75+ years,13834
2000,female,15-24 years,6689
2000,female,25-34 years,7448
2000,female,35-54 years,18484
2000,female,5-14 years,612
2000,female,55-74 years,15193
2000,female,75+ years,7817
2000,male,15-24 years,25902
2000,male,25-34 years,35030
2000,male,35-54 years,80666
2000,male,5-14 years,1538
2000,male,55-74 years,46470
2000,male,75+ years,14056
2001,female,15-24 years,6373
2001,female,25-34 years,6957
2001,female,35-54 years,18219
2001,female,5-14 years,694
2001,female,55-74 years,14286
2001,female,75+ years,7612
2001,male,15-24 years,25356
2001,male,25-34 years,34210
2001,male,35-54 years,80315
2001,male,5-14 years,1497
2001,male,55-74 years,45488
2001,male,75+ years,14064
2002,female,15-24 years,6485
2002,female,25-34 years,7457
2002,female,35-54 years,19078
2002,female,5-14 years,722
2002,female,55-74 years,14834
2002,female,75+ years,8011
2002,male,15-24 years,25463
2002,male,25-34 years,35003
2002,male,35-54 years,81085
2002,male,5-14 years,1450
2002,male,55-74 years,46172
2002,male,75+ years,14641
2003,female,15-24 years,6795
2003,female,25-34 years,7446
2003,female,35-54 years,18996
2003,female,5-14 years,636
2003,female,55-74 years,14791
2003,female,75+ years,8002
2003,male,15-24 years,24625
2003,male,25-34 years,34432
2003,male,35-54 years,81257
2003,male,5-14 years,1332
2003,male,55-74 years,46876
2003,male,75+ years,15241
2004,female,15-24 years,6107
2004,female,25-34 years,7056
2004,female,35-54 years,18654
2004,female,5-14 years,646
2004,female,55-74 years,14104
2004,female,75+ years,7780
2004,male,15-24 years,23442
2004,male,25-34 years,32049
2004,male,35-54 years,75356
2004,male,5-14 years,1283
2004,male,55-74 years,43774
2004,male,75+ years,14998
